Tweets,Dates,Tickers,Sentiment,Ratio,Score
"I really liked the $SNAP call last night. Total pro, no am with all sorts of compelling metrics...",7/24/19,SNAP,positive,0.102503434,0.440686196
"To the fill the void of a Twitter lacking @ElonMusk tweets, @JimCramer has a message for Tesla $TSLA fanboys everywhere",7/23/19,TSLA,negative,-0.199858088,-0.722199927
Skip the $GOOGL search. @AnnieGaus breaks down what to watch from Alphabet,7/23/19,GOOGL,negative,-0.216501699,-1
.@EricJhonsa Says A $1 Billion-Plus Apple Deal for Intel's Modem Business Could Eventually Pay Off,7/23/19,AAPL,positive,0.070972907,0.528814307
Good day for $SAN as well!!!,7/23/19,SAN,positive,0.575853181,1
$TXN looking great.. but now you have to wait for the call.,7/23/19,TXN,positive,0.372204208,0.551586529
.@EricJhonsa is on $TSLA watch,7/23/19,TSLA,neutral,0,0
Did $KO have a knockout quarter? Here's what @JimCramer is sipping on: https://buff.ly/2khDJhL ,7/23/19,KO,negative,-0.162909152,-1
"@jimcramer  yeah, @BeyondMeat  so good for us. What about the reports about all the chemicals in it being worse. Isn’t this the new dot-com story -$4.68 a share. Come on, man. @SquawkStreet @davidfaber @carlquintanilla",7/22/19,BYND,positive,0.147730276,0.297486614
.@EricJhonsa says Microsoft's $1 Billion Investment in AI Startup Is Good News for Nvidia,7/22/19,MSFT,positive,0.393077739,1
"Here's what has @JimCramer calling 'The Lion King' a ""metaphor for the time."" 
Check out the latest on #StockoftheDay $DIS here: https://buff.ly/2p1sewL ",7/22/19,DIS,negative,-0.07592072,-0.352712154
Will $FB give investors something to like? @EricJhonsa has your earnings preview,7/22/19,FB,positive,0.161612243,0.498001812
".@jimcramer makes his way to Carol Tomé’s home turf, @HomeDepot! Catch the show tonight to hear why Tomé’s retirement does not mean leaving the company, and how $HD is making ways to help young homeowners make smart decisions",7/22/19,HD,positive,0.136336741,0.54010668
"@jimcramer Saw your reaction to $MSFT earnings, and TV talking heads giving you guff about calling @satyanadella a ""sweet"" leader"". Suggestion: Satya ""#SweeterThanNutella"" Nadella",7/22/19,MSFT,positive,0.088855678,0.748728692
Are you Team Huberty or Team Sacconaghi when it comes to $AAPL? @JimCramer breaks down how to pick a side in a meeting of the minds: https://buff.ly/2khDJhL ,7/22/19,AAPL,negative,-0.090281327,0.718879576
"Love it or hate it, there's a new king on Pride Rock. @JimCramer breaks down what it means for #StockoftheDay $DIS: https://buff.ly/2JUrl3I ",7/22/19,DIS,neutral,-0.000850892,0.240478474
Is $MSFT the holy grail of tech?,7/22/19,MSFT,positive,0.881294943,1
.@BruceKamich takes it to the charts of #StockoftheDay $DIS,7/22/19,DIS,negative,-0.071533022,-1
Big $tsla earnings coming up this week and ran across a truckload on I-30E in Arkansas ⁦@jimcramer⁩ ⁦@MadMoneyOnCNBC⁩ ⁦⁦@jonnajarian⁩ ⁦@OptionsAction⁩ ⁦@GarCapital⁩ ⁦@CramerClub⁩ ,7/22/19,TSLA,positive,0.085806358,0.61926322
"Thank you, now i just need $AAPL to embrace it...",7/21/19,AAPL,positive,0.099868001,0.291193777
Why has MasterCard $MA been so successful? @JimCramer revealed the 'secret sauce' during his recent Action Alerts PLUS investing club call.…,7/21/19,MA,positive,0.173843727,0.655281184
We have a good club note out about $JNJ from last week's conference call: http://www.actionalertsplus.com ,7/21/19,JNJ,positive,0.121191681,0.410083018
$TWLO-still a buy,7/20/19,TWLO,neutral,0,0
.@JimCramer gave inside look at how his http://ActionAlertsPLUS.com  investing club makes a trading decision. Case in point: $MA: https://buff.ly/30CRdaX ,7/19/19,MA,positive,0.110597546,0.787232074
Trying to jump on the steel trade. @JimCramer explains the first thing investors need to understand. Catch his full take on steel and $NUE on @RealMoney:  https://buff.ly/2JQkaJU ,7/19/19,NUE,negative,-0.094144502,-0.642384757
Look at $PH go after that piece we did on  @MadMoneyOnCNBC -- short squeeze!!,7/19/19,PH,positive,0.063453847,0.500849917
