,Stock,Ticker,Date,Open,High,Low,Close,Adj Close,Volume
0,Snap Inc ,SNAP,2019-06-20,14.83,15.0,14.63,14.84,14.84,18754000.0
1,Snap Inc ,SNAP,2019-06-21,14.79,14.82,14.53,14.56,14.56,13530800.0
2,Snap Inc ,SNAP,2019-06-24,14.68,15.01,14.64,14.76,14.76,27563100.0
3,Snap Inc ,SNAP,2019-06-25,14.69,15.0,14.28,14.53,14.53,25174500.0
4,Snap Inc ,SNAP,2019-06-26,14.75,14.93,14.64,14.71,14.71,18330800.0
5,Snap Inc ,SNAP,2019-06-27,14.76,14.81,14.56,14.58,14.58,13185000.0
6,Snap Inc ,SNAP,2019-06-28,14.76,14.78,14.18,14.3,14.3,20060100.0
7,Snap Inc ,SNAP,2019-07-01,14.73,14.81,14.34,14.35,14.35,18527800.0
8,Snap Inc ,SNAP,2019-07-02,14.46,14.48,13.98,14.1,14.1,17823900.0
9,Snap Inc ,SNAP,2019-07-03,14.1,14.77,14.08,14.76,14.76,15065200.0
10,Snap Inc ,SNAP,2019-07-05,14.66,15.29,14.55,15.23,15.23,26456100.0
11,Snap Inc ,SNAP,2019-07-08,15.12,15.36,15.01,15.14,15.14,14292900.0
12,Snap Inc ,SNAP,2019-07-09,15.3,15.57,14.8,15.25,15.25,26250600.0
13,Snap Inc ,SNAP,2019-07-10,15.26,15.36,14.97,15.26,15.26,17194500.0
14,Snap Inc ,SNAP,2019-07-11,15.61,15.94,15.39,15.57,15.57,26709600.0
15,Snap Inc ,SNAP,2019-07-12,16.16,16.24,15.53,15.61,15.61,39198800.0
16,Snap Inc ,SNAP,2019-07-15,15.59,15.73,15.28,15.5,15.5,16919600.0
17,Snap Inc ,SNAP,2019-07-16,15.5,15.53,14.89,15.0,15.0,24523000.0
18,Snap Inc ,SNAP,2019-07-17,14.9,15.14,14.56,14.93,14.93,13471300.0
19,Snap Inc ,SNAP,2019-07-18,14.72,14.94,14.43,14.55,14.55,19050800.0
20,Snap Inc ,SNAP,2019-07-19,14.62,14.65,13.96,14.02,14.02,30424400.0
21,Snap Inc ,SNAP,2019-07-22,14.02,14.47,13.98,14.15,14.15,26770000.0
22,Snap Inc ,SNAP,2019-07-23,14.66,14.93,14.25,14.83,14.83,78779000.0
23,Snap Inc ,SNAP,2019-07-24,16.22,17.61,16.08,17.61,17.61,143646600.0
24,Tesla ,TSLA,2019-06-20,223.0,226.9,216.35,219.62,219.62,11863500.0
25,Tesla ,TSLA,2019-06-21,216.22,222.18,215.5,221.86,221.86,8202100.0
26,Tesla ,TSLA,2019-06-24,223.24,225.86,221.02,223.64,223.64,5750800.0
27,Tesla ,TSLA,2019-06-25,224.39,225.34,219.49,219.76,219.76,6182100.0
28,Tesla ,TSLA,2019-06-26,220.31,227.23,218.1,219.27,219.27,8507200.0
29,Tesla ,TSLA,2019-06-27,219.45,222.9,217.35,222.84,222.84,6339700.0
30,Tesla ,TSLA,2019-06-28,220.99,225.17,220.8,223.46,223.46,6851400.0
31,Tesla ,TSLA,2019-07-01,230.21,233.1,226.28,227.17,227.17,8238000.0
32,Tesla ,TSLA,2019-07-02,228.89,229.15,222.22,224.55,224.55,9259000.0
33,Tesla ,TSLA,2019-07-03,239.39,241.57,234.51,234.9,234.9,14201100.0
34,Tesla ,TSLA,2019-07-05,234.57,235.45,230.8,233.1,233.1,7065700.0
35,Tesla ,TSLA,2019-07-08,231.24,232.25,228.66,230.34,230.34,5880500.0
36,Tesla ,TSLA,2019-07-09,228.97,231.0,227.28,230.06,230.06,6190800.0
37,Tesla ,TSLA,2019-07-10,234.15,238.94,233.14,238.92,238.92,9145700.0
38,Tesla ,TSLA,2019-07-11,238.14,241.5,235.8,238.6,238.6,7514400.0
39,Tesla ,TSLA,2019-07-12,239.75,245.38,239.71,245.08,245.08,9200500.0
40,Tesla ,TSLA,2019-07-15,248.0,254.42,244.86,253.5,253.5,11000100.0
41,Tesla ,TSLA,2019-07-16,249.3,253.53,247.93,252.38,252.38,8149000.0
42,Tesla ,TSLA,2019-07-17,255.67,258.31,253.35,254.86,254.86,9764700.0
43,Tesla ,TSLA,2019-07-18,255.05,255.75,251.89,253.54,253.54,4764500.0
44,Tesla ,TSLA,2019-07-19,255.69,259.96,254.62,258.18,258.18,7048400.0
45,Tesla ,TSLA,2019-07-22,258.75,262.15,254.19,255.68,255.68,6842400.0
46,Tesla ,TSLA,2019-07-23,256.71,260.48,254.5,260.17,260.17,5023100.0
47,Tesla ,TSLA,2019-07-24,259.17,266.07,258.16,264.88,264.88,10406500.0
48,Google,GOOGL,2019-06-20,1121.7,1122.72,1107.0,1113.2,1113.2,1200900.0
49,Google,GOOGL,2019-06-21,1109.86,1126.57,1109.72,1125.37,1125.37,2538700.0
50,Google,GOOGL,2019-06-24,1120.0,1123.57,1113.31,1116.7,1116.7,1211800.0
51,Google,GOOGL,2019-06-25,1115.08,1115.7,1084.6,1087.58,1087.58,1582200.0
52,Google,GOOGL,2019-06-26,1091.0,1095.12,1073.69,1080.32,1080.32,1734900.0
53,Google,GOOGL,2019-06-27,1086.75,1088.46,1075.85,1076.63,1076.63,1203900.0
54,Google,GOOGL,2019-06-28,1077.23,1082.8,1073.8,1082.8,1082.8,1683600.0
55,Google,GOOGL,2019-07-01,1101.04,1108.59,1095.33,1100.0,1100.0,1459800.0
56,Google,GOOGL,2019-07-02,1104.83,1112.89,1099.67,1112.6,1112.6,1031500.0
57,Google,GOOGL,2019-07-03,1118.5,1127.99,1114.85,1122.99,1122.99,1007700.0
58,Google,GOOGL,2019-07-05,1119.37,1134.65,1117.5,1132.67,1132.67,1489700.0
59,Google,GOOGL,2019-07-08,1125.87,1127.21,1111.76,1116.79,1116.79,1494400.0
60,Google,GOOGL,2019-07-09,1110.32,1127.86,1107.15,1124.29,1124.29,1473600.0
61,Google,GOOGL,2019-07-10,1132.32,1142.34,1130.66,1140.91,1140.91,1535500.0
62,Google,GOOGL,2019-07-11,1146.16,1153.24,1139.53,1144.08,1144.08,1300200.0
63,Google,GOOGL,2019-07-12,1142.93,1147.5,1138.56,1145.34,1145.34,1093900.0
64,Google,GOOGL,2019-07-15,1145.34,1150.68,1140.0,1150.51,1150.51,1058200.0
65,Google,GOOGL,2019-07-16,1146.73,1158.58,1146.73,1153.46,1153.46,1267600.0
66,Google,GOOGL,2019-07-17,1150.92,1158.44,1146.62,1146.74,1146.74,976900.0
67,Google,GOOGL,2019-07-18,1142.0,1148.17,1132.86,1147.24,1147.24,1273800.0
68,Google,GOOGL,2019-07-19,1149.32,1151.58,1131.25,1131.55,1131.55,1159200.0
69,Google,GOOGL,2019-07-22,1135.47,1140.02,1125.21,1139.21,1139.21,1445700.0
70,Google,GOOGL,2019-07-23,1143.45,1148.86,1132.85,1148.05,1148.05,1032400.0
71,Google,GOOGL,2019-07-24,1132.62,1145.46,1128.51,1139.73,1139.73,1359600.0
72,Apple,AAPL,2019-06-20,200.37,200.61,198.03,199.46,199.46,21514000.0
73,Apple,AAPL,2019-06-21,198.8,200.85,198.15,198.78,198.78,47800600.0
74,Apple,AAPL,2019-06-24,198.54,200.16,198.17,198.58,198.58,18220400.0
75,Apple,AAPL,2019-06-25,198.43,199.26,195.29,195.57,195.57,21070300.0
76,Apple,AAPL,2019-06-26,197.77,200.99,197.35,199.8,199.8,26067500.0
77,Apple,AAPL,2019-06-27,200.29,201.57,199.57,199.74,199.74,20899700.0
78,Apple,AAPL,2019-06-28,198.68,199.5,197.05,197.92,197.92,31110600.0
79,Apple,AAPL,2019-07-01,203.17,204.49,200.65,201.55,201.55,27316700.0
80,Apple,AAPL,2019-07-02,201.41,203.13,201.36,202.73,202.73,16935200.0
81,Apple,AAPL,2019-07-03,203.28,204.44,202.69,204.41,204.41,11362000.0
82,Apple,AAPL,2019-07-05,203.35,205.08,202.9,204.23,204.23,17265500.0
83,Apple,AAPL,2019-07-08,200.81,201.4,198.41,200.02,200.02,25338600.0
84,Apple,AAPL,2019-07-09,199.2,201.51,198.81,201.24,201.24,20578000.0
85,Apple,AAPL,2019-07-10,201.85,203.73,201.56,203.23,203.23,17897100.0
86,Apple,AAPL,2019-07-11,203.31,204.39,201.71,201.75,201.75,20191800.0
87,Apple,AAPL,2019-07-12,202.45,204.0,202.2,203.3,203.3,17595200.0
88,Apple,AAPL,2019-07-15,204.09,205.87,204.0,205.21,205.21,16947400.0
89,Apple,AAPL,2019-07-16,204.59,206.11,203.5,204.5,204.5,16866800.0
90,Apple,AAPL,2019-07-17,204.05,205.09,203.27,203.35,203.35,14107500.0
91,Apple,AAPL,2019-07-18,204.0,205.88,203.7,205.66,205.66,18582200.0
92,Apple,AAPL,2019-07-19,205.79,206.5,202.36,202.59,202.59,20929300.0
93,Apple,AAPL,2019-07-22,203.65,207.23,203.61,207.22,207.22,22277900.0
94,Apple,AAPL,2019-07-23,208.46,208.91,207.29,208.84,208.84,18355200.0
95,Apple,AAPL,2019-07-24,207.67,209.15,207.17,208.67,208.67,14974700.0
96,Banco Santander,SAN,2019-06-20,4.52,4.54,4.48,4.52,4.52,8157900.0
97,Banco Santander,SAN,2019-06-21,4.5,4.52,4.47,4.49,4.49,19268300.0
